City,Amsterdam,Antwerp,Athens,Barcelona,Belfast,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dresden,Dublin,Edinburgh,Faro,Frankfurt,Geneva,Glasgow,Gothenburg,Hamburg,Helsinki,Kyiv,Lisbon,Liverpool,Ljubljana,London,Luxembourg,Lyon,Madrid,Marseille,Milano,Munich,Naples,Oslo,Paris,Porto,Prague,Riga,Rome,Sevilla,Sofia,Stockholm,Tallinn,Tirana,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Madrid,23.97,22.3,37.98,7.28,26.07,32.42,30.18,30.38,20.66,40.4,32.15,33.39,29.92,24.39,27.8,9.14,23.43,16.49,27.83,35.73,29.15,48.39,46.57,9.4,24.09,25.51,22.85,20.46,15.52,0,12.41,18.81,23.77,24.1,38.37,16.25,7.28,28.86,44.21,21.19,6.27,36.41,42.95,47.27,30.98,29.23,44.23,37.78,26.21,19.64
Marseille,16.73,14.88,27.8,5.55,23.75,20.22,19.43,18.1,13.03,28.21,19.75,23.78,18.66,22.96,24.24,21.51,13.52,5.71,24.74,26.89,19.53,38.08,34.23,21.76,20.99,13.12,24.99,11.19,5.56,12.41,0,6.49,12.1,13.66,30.2,10.05,18.26,17.3,33.0,10.32,18.01,24.62,33.17,36.74,19.61,17.01,32.74,25.97,13.83,8.39
Milano,14.34,12.72,24.5,12.03,23.63,14.65,13.87,11.61,11.18,22.51,13.39,18.87,12.72,23.42,23.34,27.94,9.35,4.31,24.07,22.36,14.88,32.37,27.77,28.06,20.75,6.75,27.07,8.32,5.52,18.81,6.49,0,6.12,11.51,25.97,10.51,24.15,11.18,26.87,8.45,24.5,19.6,27.85,30.93,15.43,10.51,26.47,19.59,7.86,3.92
Munich,11.15,10.09,26.1,17.58,21.65,13.74,7.79,7.44,9.28,20.64,10.18,13.02,6.63,22.01,20.65,32.85,5.2,7.32,21.55,16.68,9.34,26.26,23.33,32.68,18.88,5.3,26.95,6.41,8.44,23.77,12.1,6.12,0,15.35,20.41,11.15,28.16,5.2,20.91,13.04,29.78,19.22,21.77,24.83,16.72,6.2,20.65,14.01,7.54,4.19
Naples,25.64,24.12,14.18,17.0,35.13,11.1,22.28,15.35,22.65,18.09,14.6,27.91,20.39,34.87,34.82,32.3,20.12,15.52,35.57,31.71,24.62,38.83,27.88,33.24,32.25,11.12,38.06,19.72,16.49,24.1,13.66,11.51,15.35,0,35.52,21.76,30.98,18.53,32.06,3.37,28.06,13.11,35.52,37.12,7.28,15.06,30.94,23.97,9.37,15.27
Oslo,14.41,16.12,43.66,34.63,17.87,30.02,13.35,21.77,17.87,33.18,24.35,7.68,15.42,19.89,15.03,46.14,16.82,24.5,15.91,3.83,11.12,13.27,27.05,45.02,17.42,24.5,26.62,19.03,24.73,38.37,30.2,25.97,20.41,35.52,0,22.17,39.37,17.22,14.97,33.44,44.58,34.89,7.63,13.34,34.97,21.41,16.81,17.32,26.55,22.35
Paris,7.79,6.06,35.01,12.97,13.78,24.26,15.03,18.57,4.43,31.63,21.32,17.33,15.45,13.21,14.19,24.5,8.18,6.27,14.69,19.49,13.21,32.41,34.04,23.74,10.98,15.6,16.58,5.25,5.3,16.25,10.05,10.51,11.15,21.76,22.17,0,18.49,15.04,28.97,18.49,22.49,29.56,26.82,31.42,25.86,17.34,29.35,23.74,17.47,7.74
Porto,25.42,24.06,45.02,13.98,24.38,38.47,33.46,35.31,22.77,46.45,37.46,35.64,33.64,22.38,26.66,7.41,26.55,20.94,26.4,37.32,31.65,50.7,51.46,5.74,23.11,30.88,18.93,23.52,19.75,7.28,18.26,24.15,28.16,30.98,39.37,18.49,0,32.91,47.45,27.91,8.58,42.83,44.95,49.81,37.61,34.1,47.78,41.84,31.93,23.99
Prague,12.23,11.92,26.91,22.77,22.83,13.45,3.89,5.2,11.9,18.77,8.28,9.54,1.85,23.65,21.23,37.9,7.15,12.37,22.24,13.38,7.22,21.31,19.02,37.62,20.33,7.41,29.39,9.8,13.38,28.86,17.3,11.18,5.2,18.53,17.22,15.04,32.91,0,15.72,16.88,34.92,18.79,17.22,19.8,17.89,4.43,15.46,8.96,9.35,9.23
Riga,22.92,23.81,35.23,38.44,30.82,22.73,14.07,16.82,24.8,22.36,17.64,12.72,14.38,32.49,28.22,53.07,20.95,27.85,29.25,13.4,16.03,7.41,12.97,52.56,29.39,21.85,39.22,23.99,28.72,44.21,33.0,26.87,20.91,32.06,14.97,28.97,47.45,15.72,0,31.36,50.38,25.97,8.16,5.56,28.45,17.39,2.13,8.1,22.94,24.77
Rome,22.77,21.17,17.47,13.98,31.98,12.26,20.43,14.55,19.63,19.89,14.5,25.95,18.71,31.65,31.78,29.67,17.46,12.28,32.5,29.68,22.38,37.81,28.6,30.46,29.1,9.65,34.71,16.77,13.2,21.19,10.32,8.45,13.04,3.37,33.44,18.49,27.91,16.88,31.36,0,25.53,15.37,34.08,36.16,9.79,14.0,30.44,23.36,8.45,12.33
Sevilla,30.18,28.54,41.29,12.51,31.51,37.37,36.39,36.12,26.91,45.27,37.67,39.66,36.05,29.68,33.45,4.44,29.67,22.57,33.38,41.98,35.42,54.65,52.21,6.17,29.76,31.08,27.13,26.71,21.66,6.27,18.01,24.5,29.78,28.06,44.58,22.49,8.58,34.92,50.38,25.53,0,40.9,49.22,53.53,35.23,35.01,50.35,43.79,31.54,25.7
Sofia,30.18,29.28,9.27,29.13,40.82,5.5,22.39,13.61,28.48,5.5,10.67,27.55,20.22,41.23,39.61,45.03,24.27,23.79,40.56,31.22,26.0,33.38,17.33,45.76,38.08,14.09,45.97,25.53,25.05,36.41,24.62,19.6,19.22,13.11,34.89,29.56,42.83,18.79,25.97,15.37,40.9,0,32.03,31.53,5.85,14.4,24.21,18.7,12.1,21.84
Stockholm,19.53,20.93,41.21,38.2,25.13,27.89,13.98,20.41,22.39,29.24,22.27,9.56,15.42,27.05,22.34,51.3,19.8,27.54,23.28,7.8,13.85,5.94,21.03,50.42,24.3,24.5,33.85,22.61,28.09,42.95,33.17,27.85,21.77,35.52,7.63,26.82,44.95,17.22,8.16,34.08,49.22,32.03,0,5.73,33.38,20.5,10.23,13.35,26.16,24.82
Tallinn,24.54,25.76,40.79,42.01,30.8,28.17,17.32,21.77,27.05,27.89,22.91,14.17,18.2,32.69,28.03,55.88,23.86,31.3,28.98,13.27,18.22,1.85,17.87,55.15,29.85,26.54,39.49,26.82,32.02,47.27,36.74,30.93,24.83,37.12,13.34,31.42,49.81,19.8,5.56,36.16,53.53,31.53,5.73,0,33.86,22.17,7.48,13.35,27.85,28.36
Tirana,27.85,26.67,9.39,23.74,38.19,5.73,21.76,13.24,25.56,11.06,11.12,27.33,19.61,38.32,37.35,39.42,21.92,19.75,38.23,31.16,24.93,35.68,21.92,40.25,35.36,11.44,42.44,22.53,20.94,30.98,19.61,15.43,16.72,7.28,34.97,25.86,37.61,17.89,28.45,9.79,35.23,5.85,33.38,33.86,0,13.56,26.97,20.54,9.18,18.37
Vienna,16.08,15.45,22.49,22.54,26.77,9.02,8.23,1.24,15.04,14.84,4.19,13.76,6.06,27.41,25.35,38.37,10.4,13.16,26.34,17.6,11.65,23.84,17.39,38.37,24.15,4.49,32.78,12.41,14.37,29.23,17.01,10.51,6.2,15.06,21.41,17.34,34.1,4.43,17.39,14.0,35.01,14.4,20.5,22.17,13.56,0,16.59,9.5,5.7,10.18
Vilnius,23.71,24.46,33.45,38.23,32.09,21.24,14.33,15.9,25.32,20.42,16.38,13.8,14.31,33.69,29.56,53.19,21.23,27.78,30.6,14.95,16.72,9.32,10.84,52.77,30.52,21.08,40.36,24.26,28.71,44.23,32.74,26.47,20.65,30.94,16.81,29.35,47.78,15.46,2.13,30.44,50.35,24.21,10.23,7.48,26.97,16.59,0,7.09,21.98,24.65
Warsaw,19.35,19.65,27.92,31.5,29.07,14.88,9.12,8.81,20.12,16.06,9.57,11.36,8.28,30.34,26.89,46.84,15.58,21.3,27.95,14.18,12.53,15.14,11.12,46.58,27.01,13.99,36.67,18.5,22.34,37.78,25.97,19.59,14.01,23.97,17.32,23.74,41.84,8.96,8.1,23.36,43.79,18.7,13.35,13.35,20.54,9.5,7.09,0,14.91,18.15
Zagreb,18.69,17.57,18.55,19.09,29.12,6.86,13.2,6.12,16.57,14.65,6.34,18.87,11.19,29.36,28.19,35.26,12.74,11.83,29.09,22.71,16.01,29.53,20.89,35.58,26.32,2.26,33.89,13.56,13.11,26.21,13.83,7.86,7.54,9.37,26.55,17.47,31.93,9.35,22.94,8.45,31.54,12.1,26.16,27.85,9.18,5.7,21.98,14.91,0,9.74
Zurich,10.44,8.86,27.67,13.69,20.02,16.53,11.04,11.41,7.42,23.97,13.89,15.54,10.39,19.99,19.56,28.69,5.56,3.15,20.33,18.84,11.37,29.69,27.48,28.5,17.15,7.87,24.18,4.46,4.25,19.64,8.39,3.92,4.19,15.27,22.35,7.74,23.99,9.23,24.77,12.33,25.7,21.84,24.82,28.36,18.37,10.18,24.65,18.15,9.74,0
